model1,model2,MUsage1,MUsage2,Power,Tem,GPU_Uti,M_Uti,CommonP,model1_P,model2_P,model1+2_P,model1_FLP,model2_FLP,model1_P_2pir,model2_P_2pair,model1_Param,model2_Param,model_py,P_Usage,model1_FLOPS,Parameter
toy1,toy2,126,162,30.2,55,45,5,13.388,19.492,24.096,43.588,1.98,5.355,13.50505644,16.69494356,205.83,607.5,toy1.py,19.492,1.98,205.83
toy1,toy3,126,142,29.636,53,52,7,13.279,19.492,23.423,42.915,1.98,2.69,13.46067603,16.17532397,205.83,304.91,toy2.py,24.096,5.355,607.5
toy1,toy5,126,220,35.568,64,52,8,8.405,19.492,24.481,43.973,1.98,3.66,15.76629877,19.80170123,205.83,406.67,toy3.py,23.423,2.69,304.91
toy1,toy4,126,184,29.54,57,64,13,16.795,19.492,26.843,46.335,1.98,5.345,12.42675472,17.11324528,205.83,604.81,toy4.py,26.843,5.345,604.81
toy1,toy6,126,240,39.094,67,47,10,13.182,19.492,32.784,52.276,1.98,5.35,14.57686602,24.51713398,205.83,607.5,toy5.py,24.481,3.66,406.67
toy1,toy7,126,176,43.286,70,65,10,2.305,19.492,26.099,45.591,1.98,7.03,18.50651909,24.77948091,205.83,804.87,toy6.py,32.784,5.35,607.5
toy1,toy8,126,182,38.998,63,73,11,10.994,19.492,30.5,49.992,1.98,5.355,15.20541319,23.79258681,205.83,604.81,toy7.py,26.099,7.03,804.87
toy1,toy9,126,266,32.806,66,47,7,14.419,19.492,27.733,47.225,1.98,5.345,13.54059401,19.26540599,205.83,604.81,toy8.py,30.5,5.355,604.81
toy1,toy10,126,376,49.868,72,78,28,7.016,19.492,37.392,56.884,1.98,10.645,17.08788158,32.78011842,205.83,1210,toy9.py,27.733,5.345,604.81
toy1,toy11,126,240,42.356,72,57,11,11.552,19.492,34.416,53.908,1.98,5.355,15.31503955,27.04096045,205.83,607.5,toy10.py,37.392,10.645,1210
toy1,toy12,126,232,45.012,72,82,21,11.776,19.492,37.296,56.788,1.98,17.385,15.44998774,29.56201226,205.83,2000,toy11.py,34.416,5.355,607.5
toy1,toy13,126,166,34.512,71,48,8,18.458,19.492,33.478,52.97,1.98,4.38,12.69979052,21.81220948,205.83,503.05,toy12.py,37.296,17.385,2000
toy1,toy14,126,948,49.356,73,79,28,7.24,19.492,37.104,56.596,1.98,17.405,16.99850081,32.35749919,205.83,2000,toy13.py,33.478,4.38,503.05
toy1,toy15,126,1392,59.617,82,100,46,2.423,19.492,42.548,62.04,1.98,68.685,18.73073121,40.88626879,205.83,7940,toy14.py,37.104,17.405,2000
toy1,toy16,126,456,44.341,76,81,22,17.151,19.492,42,61.492,1.98,17.385,14.05540187,30.28559813,205.83,2000,toy15.py,42.548,68.685,7940
toy1,toy17,126,704,56.977,76,94,42,6.118,19.492,43.603,63.095,1.98,109.37,17.60196028,39.37503972,205.83,12670,toy16.py,42,17.385,2000
toy1,toy18,126,516,49.452,68,93,26,18.887,19.492,48.847,68.339,1.98,69.225,14.10495301,35.34704699,205.83,7940,toy17.py,43.603,109.37,12670
toy1,toy19,126,582,46.456,70,60,16,18.144,19.492,45.108,64.6,1.98,27.42,14.01734291,32.43865709,205.83,3180,toy18.py,48.847,69.225,7940
